uloha;varianta;varianta_en;metoda_reseni;metoda_reseni_en;pocet_reseni;nazev_souboru;zapsal(a) česky;zapsal(a) anglicky;zkontroloval(a) na webu;svg_ilustrace;;;;;;;;;;;;;;;;;;;;
např. BBB, PPP...; BUDE POUŽITO JAKO NÁZEV;varianta přeložena do angličtiny;přepsat z prvního listu;metoda řešení přeložena do angličtiny;pouze číslo;stejný název pro .ggb a .txt soubor - bez diakritiky a mezer // překlad má na konci _en.txt;kdo zapsal informace do řádku?;kdo zapsal řádky v en?;zatím nic;!nevyplňovat ani neměnit!;;;;;;;;;;;;;;;;;;;;
PK;Dotyk kružnice a přímky;Circle and line with contact;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;pk_dotykaji_se_mnozina_bodu_danych_vlastnosti;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""52"" cy=""43.5"" r=""40"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-20"" y1=""30"" x2=""62"" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;Různoběžné přímky, kružnice protíná obě;Two diverging lines, both intersecting a circle;Kruhová inverze;Circle inversion;8;ppk_ruznobezky_kruznice_protina_obe;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50.5"" cy=""50.5"" r=""49"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""10"" x2=""90"" y2=""110"" stroke=""black"" stroke-width=""3""/> <line x1=""90"" y1=""-10"" x2="""" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;Různoběžné přímky, kružnice mimo;Diverging lines not intersecting a circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;4;ppk_ruznobezky_kruznice_bez_dotyku_2;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""75.5"" cy=""48.5"" r=""18"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""10"" x2=""90"" y2=""110"" stroke=""black"" stroke-width=""3""/> <line x1=""90"" y1=""-10"" x2="""" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;Rovnoběžné přímky, kružnice uvnitř pásu bez dotyku;Parallel lines with a circle between them;Množina bodů daných vlastností;Loci of points satisfying certain properties;4;ppk_rovnobezky_kruznice_uvnitr;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""20"" x2=""110"" y2=""25"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""75"" x2=""110"" y2=""80"" stroke=""black"" stroke-width=""3""/> <circle cx=""50"" cy=""50"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;Rovnoběžné přímky, kružnice mimo pás, jedna přímka je tečnou;Parallel lines with a circle not between them, one is tangential to the circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;1;ppk_rovnobezky_kruznice_vnejsi_dotyk;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""52"" x2=""110"" y2=""57"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""75"" x2=""110"" y2=""80"" stroke=""black"" stroke-width=""3""/> <circle cx=""50"" cy=""34"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;Rovnoběžné přímky, obě jsou tečny ke kružnici;parallel lines, both tangential to a circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;2;ppk_rovnobezne_dva_vnitrni_dotyky;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""35"" x2=""110"" y2=""40"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""75"" x2=""110"" y2=""80"" stroke=""black"" stroke-width=""3""/> <circle cx=""50"" cy=""57.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;Rovnoběžné přímky, obě protínají kružnici;parallel lines, both intersecting a circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;4;ppk_rovnobezky_dve_secny;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""20"" x2=""110"" y2=""25"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""75"" x2=""110"" y2=""80"" stroke=""black"" stroke-width=""3""/> <circle cx=""50"" cy=""50"" r=""40"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;Různoběžné přímky, kružnice s dotykem;Diverging lines, line tangential to a circle;Stejnolehlost;Dilation;4;ppk_ruznobezky_kruznice_jeden_dotyk;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""70.5"" cy=""48.5"" r=""18"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""10"" x2=""90"" y2=""110"" stroke=""black"" stroke-width=""3""/> <line x1=""90"" y1=""-10"" x2="""" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;Různoběžné přímky, kružnice mimo;Diverging lines not intersecting a circle;Stejnolehlost;Dilation;4;ppk_ruznobezky_kruznice_bez_dotyku;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""75.5"" cy=""48.5"" r=""18"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""10"" x2=""90"" y2=""110"" stroke=""black"" stroke-width=""3""/> <line x1=""90"" y1=""-10"" x2="""" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;Rovnoběžné přímky, kružnice uvnitř pásu, jedna přímka je tečnou ke kružnici;Parallel lines with a circle between them, one is tangential to the circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;3;ppk_rovnobezne_jeden_vnitrni_dotyk;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""20"" x2=""110"" y2=""25"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""75"" x2=""110"" y2=""80"" stroke=""black"" stroke-width=""3""/> <circle cx=""50"" cy=""43"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
