uloha;varianta;varianta_en;metoda_reseni;metoda_reseni_en;pocet_reseni;nazev_souboru;zapsal(a) česky;zapsal(a) anglicky;zkontroloval(a) na webu;svg_ilustrace;;;;;;;;;;;;;;;;;;;;
např. BBB, PPP...; BUDE POUŽITO JAKO NÁZEV;varianta přeložena do angličtiny;přepsat z prvního listu;metoda řešení přeložena do angličtiny;pouze číslo;stejný název pro .ggb a .txt soubor - bez diakritiky a mezer // překlad má na konci _en.txt;kdo zapsal informace do řádku?;kdo zapsal řádky v en?;zatím nic;!nevyplňovat ani neměnit!;;;;;;;;;;;;;;;;;;;;
KKP;Dotýkající se kružnice, vnější dotyk, přímka procházející oběma kružnicemi;Two externally tangent circles, line intersects both of them;Kruhová inverze;Circle inversion;6;kkp_dotykajici_se_kruznice_vnejsi_dotyk_primka_prochazi_obema_kruznicemi_eukl;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""30"" cy=""30"" r=""24"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""69"" cy=""64"" r=""27"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-20"" y1=""25"" x2=""162"" y2=""105"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKP;Dotýkající se kružnice, vnější dotyk, přímka procházející jednou kružnicí;Two externally tangent circles, line intersects one of them;Kruhová inverze;Circle inversion;4;kkp_dotykajici_se_kruznice_vnejsi_dotyk_primka_prochazi_jednou_kruznici_eukl;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""30"" cy=""30"" r=""22"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""69"" cy=""64"" r=""28"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-20"" y1=""85"" x2=""162"" y2=""20"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKP;Dotýkající se kružnice, vnější dotyk, přímka neprotíná kružnice;Two externally tangent circles, line does not intersect them;Množina bodů daných vlastností;Loci of points satisfying certain properties;6;kkp_dotykajici_se_kruznice_vnejsi_dotyk_primka_neprotina_kruznice;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""30"" cy=""30"" r=""24"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""75"" cy=""30"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-20"" y1=""65"" x2=""162"" y2=""75"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKP;Dotýkající se kružnice, vnější dotyk, přímka procházející oběma kružnicemi;Two externally tangent circles, line intersects both of them;Množina bodů daných vlastností;Loci of points satisfying certain properties;6;kkp_dotykajici_se_kruznice_vnejsi_dotyk_primka_prochazi_obema_kruznicemi;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""30"" cy=""30"" r=""24"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""69"" cy=""64"" r=""27"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-20"" y1=""25"" x2=""162"" y2=""105"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKP;Dvě kružnice s vnitřním dotykem, přímka mimo kružnice;Two circles with inner contact, line outside the circle;Dilatace;Resizing;2;kkp_kruznice_vnitrni_dotyk_primka_mimo;Filip K.;Filip K.;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""40"" cy=""38"" r=""35"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""45"" cy=""30"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-20"" y1=""85"" x2=""162"" y2=""75"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKP;Kružnice bez dotyku, přímka protíná jednu;Two circles with no contact, line intersects one;Kruhová inverze, dilatace;Circle inversion, dilation;4;kkp_kruznice_bez_dotyku_primka_protina_jednu;Ondřej Zeman;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""60"" cy=""30.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""35"" cy=""75"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-20"" y1=""30"" x2=""62"" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKK;Tři kružnice bez společných bodů;Three circles with no common points;Kruhová inverze;Circle inversion;8;kkk_obecne_kruhova_inverze;Lída;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""28.5"" cy=""28.5"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""75.5"" cy=""55.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""35.5"" cy=""78.5"" r=""15"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKK;Tři protínající se kružnice;Three intersecting circles;Množina bodů daných vlastností;Loci of points satisfying certain properties;8;kkk_tri_protinajici_se;Robert;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""40.5"" cy=""40.5"" r=""30"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""70.5"" cy=""60.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""40.5"" cy=""70.5"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKK;Tři kružnice protínající se ve společném bodě;Three circles intersecting in a common point;Množina bodů daných vlastností;Loci of points satisfying certain properties;4;kkk_prunik_v_jednom_bode;Robert;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""35.5"" cy=""35.5"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""70.5"" cy=""55.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""40.5"" cy=""72.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKK;Tři kružnice s vnějším dotykem;Three externally tangent circles;Množina bodů daných vlastností;Loci of points satisfying certain properties;2;kkk_tri_dotykajici_se;Ondřej Zeman;Vladimiír Blažek;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""27.5"" cy=""34.5"" r=""22"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""70.5"" cy=""53.5"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""30.5"" cy=""76.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKK;Dvě protínající se kružnice, třetí leží uvnitř jedné z nich;Two intersecting circles, third circle inside one of them;Množina bodů daných vlastností;Loci of points satisfying certain properties;4;kkk_jedna_uvnitr;Lída;Anna Štrosová;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""40.5"" cy=""40.5"" r=""30"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""70.5"" cy=""60.5"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""35.5"" cy=""35.5"" r=""10"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKK;Dvě dotýkající se;Two circles with contact;;;7;kkk_dve_dotykajici_se;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""30"" cy=""30"" r=""15"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""65"" cy=""35"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""35"" cy=""73"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKK;Dvě soustředné kružnice, třetí jednu z nich protíná;Two concentric circles, third circle intersecting one of them;Množina bodů daných vlastností;Loci of points satisfying certain properties;4;kkk_dve_soustredne;Lída;Vladimír Blažek;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""40.5"" cy=""40.5"" r=""30"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""70.5"" cy=""70.5"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""40.5"" cy=""40.5"" r=""10"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKK;Dvě protínající se kružnice, třetí leží vně;Two intersecting circles, third circle outside both of them;Dilatace, stejnolehlost;Resizing, dilation;4;kkk_dve_protinajici_se_kruznice_treti_vne;TF;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""40.5"" cy=""35.5"" r=""30"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""70.5"" cy=""70.5"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""20.5"" cy=""83.5"" r=""10"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKK;Dvě protínající se kružnice, třetí leží uvnitř jedné z nich;Two intersecting circles, third circle inside one of them;Dilatace, stejnolehlost;Resizing, dilation;4;kkk_dve_protinajici_se_kruznice_treti_v_jedne;TF;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""60.5"" cy=""30.5"" r=""28"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""45.5"" cy=""55.5"" r=""40"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""40.5"" cy=""75"" r=""15"" fill=""none"" stroke=""black"" stroke-width=""3""/>";;;;;;;;;;;;;;;;;;;;
KKK;Dvě protínající se kružnice, třetí leží uvnitř obou z nich;Two intersecting circles, third circle inside both of them;Dilatace, stejnolehlost;Resizing, dilation;4;kkk_dve_protinajici_se_kruznice_treti_v_obou;TF;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""37.5"" cy=""35.5"" r=""30"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""57.5"" cy=""60.5"" r=""35"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""42.5"" cy=""48.5"" r=""10"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKK;Tři kružnice protínající se ve společném bodě;Three circles intersecting in a common point;Kruhová inverze;Circle inversion;4;kkk_protinajici_se_v_bode;TF;TF;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""47"" cy=""35"" r=""15"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""70"" cy=""53"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""35"" cy=""65"" r=""22"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKK;Tři kružnice bez společných bodů;Three circles with no common points;Množina bodů daných vlastností;Loci of points satisfying certain properties;8;kkk_obecne;TF;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""30"" cy=""30"" r=""15"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""75"" cy=""45"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""30"" cy=""73"" r=""22"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKK;Tři kružnice stejné velikosti s vnějším dotykem;Three externally tangent circles with same size;Množina bodů daných vlastností;Loci of points satisfying certain properties;2;kkk_tri_dotykajici_stejne_velikosti;TF;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""61"" cy=""30.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""58.5"" cy=""70.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""25.5"" cy=""48.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKK;Tři kružnice s jedním společným bodem dotyku;Three circles with one tangent point;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;kkk_spolecny_bod_dotyku;TF;;;"<svg width=""101"" height=""101"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""45"" cy=""50"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""35"" cy=""50"" r=""30"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""80"" cy=""50"" r=""15"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KK;Dvě kružnice, navzájem mimo sebe;Two circles, outside each other;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;kk_kruznice_mimo;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""25.5"" cy=""60.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""70.5"" cy=""40.5"" r=""23"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KK;Dvě protínající se kružnice;Two intersecting circles;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;kk_protinajici_se;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""25.5"" cy=""50.5"" r=""22"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""65.5"" cy=""50.5"" r=""27"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KK;Dvě kružnice, jedna je uvnitř druhé;Two circles, one inside the second;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;kk_v_sobe;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50.5"" cy=""50.5"" r=""49"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""50.5"" cy=""50.5"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BPP;Různoběžné přímky, bod leží mimo ně;Two diverging lines with a point between them;Stejnolehlost;Dilation;2;bpp_ruznobezky_bod_mimo_primky;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""72.5"" cy=""32.5"" r=""3.5"" fill=""black""/> <line x1=""-10"" y1=""10"" x2=""90"" y2=""110"" stroke=""black"" stroke-width=""3""/> <line x1=""90"" y1=""-10"" x2="""" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BPP;Různoběžné přímky, bod leží na přímce;Two diverging lines with a point placed on one line;Množina bodů daných vlastností;Loci of points satisfying certain properties;2;bpp_ruznobezky_bod_na_primce;Filip  ;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""58.5"" cy=""32.5"" r=""3.5"" fill=""black""/> <line x1=""-10"" y1=""10"" x2=""90"" y2=""110"" stroke=""black"" stroke-width=""3""/> <line x1=""90"" y1=""-10"" x2="""" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BPP;Rovnoběžné přímky, bod uvnitř;Parallel lines, point in between;Množina bodů daných vlastností;Loci of points satisfying certain properties;2;bpp_rovnobezky_bod_mezi_primkami;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""58.5"" cy=""32.5"" r=""3.5"" fill=""black""/> <line x1=""-10"" y1=""10"" x2=""90"" y2=""110"" stroke=""black"" stroke-width=""3""/> <line x1=""40"" y1=""-10"" x2=""140"" y2=""90"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BPP;Dvě rovnoběžné přímky, bod na přímce;Two parallel lines, point on one of the lines;Množina bodů daných vlastností;Loci of points satisfying certain properties;1;bpp_rovnobezky_bod_na_primce;Filip K.;Filip K.;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""40.5"" cy=""60.5"" r=""3.5"" fill=""black""/> <line x1=""-10"" y1=""10"" x2=""90"" y2=""110"" stroke=""black"" stroke-width=""3""/> <line x1=""40"" y1=""-10"" x2=""140"" y2=""90"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BPP;Rovnoběžné přímky, bod uvnitř;Parallel lines, point in between;Posunutí;Translation;2;bpp_rovnobezky_bod_mezi_primkami_posunuti;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-20"" y1=""30"" x2=""200"" y2=""30"" stroke=""black"" stroke-width=""3""/> <line x1=""-20"" y1=""70"" x2=""200"" y2=""70"" stroke=""black"" stroke-width=""3""/> <circle cx=""65"" cy=""42"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BPK;Bod, přímka, kružnice - obecné řešení;Common solution;Kruhová inverze;Circle inversion;4;bpk_univerzalni;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""68"" cy=""32"" r=""24.5"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""40"" x2=""90"" y2=""100"" stroke=""black"" stroke-width=""3""/> <circle cx=""23"" cy=""30"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BPK;Bod, přímka, kružnice - bod leží na přímce;The point lies on the line;Dilatace;Resizing;2;bpk_bod_na_primce;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""40"" cy=""70"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""65"" cy=""34"" r=""3.5"" fill=""black""/> <line x1=""10"" y1=""-50"" x2=""115"" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BPK;Přímka je tečnou a bod je tečným bodem;Line is tangent to circle, point is the point of tangency;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;bpk_primka_tecnou_bod_tecnym_bodem;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""48"" cy=""60"" r=""30"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""65"" cy=""35"" r=""3.5"" fill=""black""/> <line x1=""10"" y1=""-5"" x2=""115"" y2=""70"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BP;Bod na přímce;Point on the line;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;bp_bod_na_primce;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""47"" cy=""32.5"" r=""3.5"" fill=""black""/> <line x1=""40"" y1=""0"" x2=""62"" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BP;Bod mimo přímku;Point outside the line;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;bp_bod_mimo_primku;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""72.5"" cy=""32.5"" r=""3.5"" fill=""black""/> <line x1=""40"" y1=""0"" x2=""62"" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Kružnice bez průsečíku, nejsou uvnitř sebe, bod vně kružnic;Circles with no intersects outside each other, point lies outside both circles;Kruhová inverze;Circle inversion;4;bkk_nedotykaji_se_bod_vne;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""26.5"" cy=""35.5"" r=""23"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""72.5"" cy=""25.5"" r=""3.5"" fill=""black""/> <circle cx=""74.5"" cy=""65.5"" r=""22"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Dotýkající se kružnice, různé velikosti, bod uvnitř kružnice;Two tangent circles, different sizes, point inside a circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;1;bkk_dotykajici_se_kruznice_ruzne_velikosti_bod_uvnitr_kruznice;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""30.5"" cy=""50.5"" r=""29"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""30.5"" cy=""35.5"" r=""3.5"" fill=""black""/> <circle cx=""78.5"" cy=""50.5"" r=""19"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Soustředné kružnice, bod v mezikruží;Concentric circles, point in their annulus;Množina bodů daných vlastností;Loci of points satisfying certain properties;4;bkk_soustredne_bod_v_pasu;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50.5"" cy=""50.5"" r=""49"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""50.5"" cy=""50.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""77.5"" cy=""32.5"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Dotýkající se kružnice, různé velikosti, bod vně kružnice;Two tangent circles, different sizes, point outside a circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;3;bkk_dotykajici_se_kruznice_ruzne_velikosti_bod_vne_kruznice;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""35"" cy=""34"" r=""30"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""74"" cy=""68"" r=""22"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""84"" cy=""12"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Dotýkající se kružnice, různé velikosti, bod vně kružnice ležící na přímce procházející tečným bodem, která je kolmá na spojnicí středů kružnic;Two tangent circles of different sizes, point lies on the common tangent line which passes through the tangent point of the circles;Množina bodů daných vlastností;Loci of points satisfying certain properties;2;bkk_dotykajici_se_kruznice_ruzne_velikosti_bod_vne_kruznice_lezici_na_primce_prochazejici_tecnym_bodem_ktera_je_kolma_na_spojnici_stredu_kruznic;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""31.5"" cy=""50.5"" r=""27"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""65.5"" cy=""50.5"" r=""3.5"" fill=""black""/> <circle cx=""78.5"" cy=""50.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""50.5"" x2=""100"" y2=""50.5"" stroke=""gray"" stroke-width=""2"" stroke-opacity=""0.5""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Soustředné kružnice, bod na kružnici;Concentric circles, a point on a circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;2;bkk_soustredne_bod_na_kruznici;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50.5"" cy=""50.5"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""65.5"" cy=""30.5"" r=""3.5"" fill=""black""/> <circle cx=""50.5"" cy=""50.5"" r=""49"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Kružnice bez průsečíku, nejsou uvnitř sebe, bod na kružnici;Circles do not intersect, they are external to each other, the point lies on one circle;Kruhová inverze;Circle inversion;2;bkk_kruznice_bez_pruseciku_nejsou_uvnitr_sebe_bod_na_kruznici;Filip, Vincent;Vladimír Blažek;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""33.5"" cy=""67.5"" r=""28"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""60"" cy=""60.5"" r=""3.5"" fill=""black""/> <circle cx=""70.5"" cy=""28.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Kružnice bez průsečíku, nejsou uvnitř sebe, bod na kružnici na spojnici středů;Circles do not intersect, they are external to each other, the point lies on the line connecting their centers;Množina bodů daných vlastností;Loci of points satisfying certain properties;2;bkk_kruznice_bez_pruseciku_nejsou_uvnitr_sebe_bod_na_kruznici_na_spojnici_stredu;Filip, Vincent;Mikuláš Růžička;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""33.5"" cy=""67.5"" r=""26"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""51"" cy=""48"" r=""3.5"" fill=""black""/> <circle cx=""70.5"" cy=""28.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""120"" y1=""-20"" x2=""-8"" y2=""108"" stroke=""gray"" stroke-width=""2"" stroke-opacity=""0.5""/> </svg>";;;;;;;;;;;;;;;;;;;;
